epoch,train_loss,val_loss,epoch_seconds,timestamp
47,0.053685,0.060638,50.7,2026-08-06T22:14:10
48,0.049879,0.057726,50.7,2026-08-06T22:15:01
49,0.048265,0.097333,50.7,2026-08-06T22:15:51
50,0.049715,0.056430,50.7,2026-08-06T22:16:42
51,0.041625,0.054931,50.7,2026-08-06T22:17:33
52,0.045027,0.079193,50.7,2026-08-06T22:18:23
53,0.045004,0.055162,50.7,2026-08-06T22:19:14
54,0.043915,0.049256,50.6,2026-08-06T22:20:05
55,0.040076,0.058710,50.7,2026-08-06T22:20:56
56,0.039847,0.055164,50.7,2026-08-06T22:21:46
57,0.038785,0.070666,50.7,2026-08-06T22:22:37
58,0.039582,0.108442,50.7,2026-08-06T22:23:28
59,0.041520,0.047237,50.7,2026-08-06T22:24:18
60,0.039793,0.045731,50.7,2026-08-06T22:25:09
61,0.037673,0.065218,50.7,2026-08-06T22:26:00
62,0.039002,0.045878,50.7,2026-08-06T22:26:50
63,0.036432,0.041547,50.7,2026-08-06T22:27:41
64,0.036858,0.048371,50.7,2026-08-06T22:28:32
65,0.033941,0.059347,50.7,2026-08-06T22:29:23
66,0.032618,0.054086,50.7,2026-08-06T22:30:13
67,0.030011,0.049160,50.7,2026-08-06T22:31:04
68,0.030494,0.047049,50.7,2026-08-06T22:31:55
69,0.028733,0.055622,50.7,2026-08-06T22:32:45
70,0.029003,0.051551,50.7,2026-08-06T22:33:36
71,0.029651,0.039615,50.7,2026-08-06T22:34:27
72,0.028444,0.042646,50.7,2026-08-06T22:35:18
73,0.026367,0.046317,50.7,2026-08-06T22:36:08
74,0.025510,0.043827,50.7,2026-08-06T22:36:59
75,0.022922,0.050657,50.7,2026-08-06T22:37:50
76,0.022713,0.046355,50.7,2026-08-06T22:38:41
77,0.019812,0.070819,50.7,2026-08-06T22:39:31
78,0.019970,0.127349,50.7,2026-08-06T22:40:22
79,0.021346,0.090162,50.7,2026-08-06T22:41:13
80,0.017356,0.030591,50.7,2026-08-06T22:42:04
81,0.017541,0.065555,50.7,2026-08-06T22:42:54
82,0.011992,0.030264,50.7,2026-08-06T22:43:45
83,0.009758,0.035648,50.7,2026-08-06T22:44:36
84,0.018465,0.032260,50.7,2026-08-06T22:45:26
85,0.011935,0.052357,50.7,2026-08-06T22:46:17
86,0.018040,0.104449,51.0,2026-08-06T22:47:08
87,0.017246,0.041397,50.9,2026-08-06T22:47:59
