epoch,train_loss,val_loss,epoch_seconds,timestamp
104,0.000581,0.034564,50.6,2026-08-07T08:30:54
105,0.008923,0.053745,50.6,2026-08-07T08:31:45
106,0.000996,0.000025,50.6,2026-08-07T08:32:36
107,0.000933,0.013580,50.6,2026-08-07T08:33:26
108,0.002623,0.013698,50.6,2026-08-07T08:34:17
109,0.000355,0.007510,50.7,2026-08-07T08:35:08
110,-0.001041,0.011265,50.6,2026-08-07T08:35:58
111,-0.004223,0.018736,50.6,2026-08-07T08:36:49
112,-0.004914,0.037710,50.7,2026-08-07T08:37:40
113,0.000036,0.014190,50.6,2026-08-07T08:38:30
114,-0.001507,0.021950,50.6,2026-08-07T08:39:21
115,-0.006952,0.012064,50.6,2026-08-07T08:40:12
116,0.004592,0.017549,50.7,2026-08-07T08:41:02
117,-0.005902,0.005756,50.6,2026-08-07T08:41:53
118,-0.004334,0.050620,50.7,2026-08-07T08:42:44
119,-0.006891,0.006928,50.6,2026-08-07T08:43:34
120,-0.008686,0.022172,50.7,2026-08-07T08:44:25
121,-0.007162,0.009240,50.6,2026-08-07T08:45:16
122,-0.010943,0.075500,50.6,2026-08-07T08:46:07
123,-0.009181,0.001520,50.8,2026-08-07T08:46:57
124,-0.009866,0.019930,50.9,2026-08-07T08:47:48
125,-0.008175,0.019342,50.6,2026-08-07T08:48:39
126,-0.014576,0.022334,50.6,2026-08-07T08:49:30
127,-0.010610,0.000714,50.7,2026-08-07T08:50:20
128,-0.009296,0.060494,50.6,2026-08-07T08:51:11
129,-0.014839,0.019701,50.6,2026-08-07T08:52:02
130,-0.017223,0.031525,50.6,2026-08-07T08:52:52
131,-0.020375,0.011796,50.6,2026-08-07T08:53:43
132,-0.011605,0.025976,50.7,2026-08-07T08:54:34
133,-0.020782,0.017621,50.7,2026-08-07T08:55:24
134,-0.018176,0.009673,50.6,2026-08-07T08:56:15
135,-0.020513,0.015293,50.7,2026-08-07T08:57:06
136,-0.026534,0.090803,50.7,2026-08-07T08:57:56
137,-0.017831,0.045884,50.6,2026-08-07T13:29:25
138,-0.024856,0.037368,50.7,2026-08-07T13:50:00
139,-0.024311,-0.009791,50.8,2026-08-07T13:53:03
140,-0.021732,0.027171,50.6,2026-08-07T13:53:53
141,-0.022498,0.004583,50.7,2026-08-07T13:54:44
142,-0.024706,0.044797,50.8,2026-08-07T13:55:35
143,-0.026225,0.017908,50.8,2026-08-07T13:56:26
144,-0.029275,0.046235,50.8,2026-08-07T14:07:41
145,-0.027143,0.005006,50.6,2026-08-07T14:08:32
146,-0.031741,0.045541,50.8,2026-08-07T14:09:23
147,-0.029561,0.048974,50.9,2026-08-07T14:10:14
148,-0.031238,0.014267,50.8,2026-08-07T14:11:04
149,-0.029354,0.012588,50.9,2026-08-07T14:11:55
150,-0.035794,0.072410,50.9,2026-08-07T14:12:46
151,-0.035174,0.023040,50.9,2026-08-07T14:13:37
152,-0.037282,0.060384,50.9,2026-08-07T14:14:28
153,-0.036547,0.031924,50.9,2026-08-07T14:15:19
154,-0.036525,0.035678,50.9,2026-08-07T14:16:10
155,-0.038510,-0.005981,50.9,2026-08-07T14:17:01
156,-0.040539,-0.009825,50.9,2026-08-07T14:17:52
157,-0.038880,0.042764,50.9,2026-08-07T14:18:43
158,-0.040464,0.036424,50.9,2026-08-07T14:19:34
159,-0.040784,0.015971,50.9,2026-08-07T14:20:25
160,-0.042811,0.051185,50.9,2026-08-07T14:21:15
161,-0.047698,0.001740,50.9,2026-08-07T14:22:06
162,-0.041746,0.162011,50.8,2026-08-07T14:22:57
